country_code,country_name,region,income_group,special_notes
ABW,Aruba,Latin America & Caribbean,High income,
AFG,Afghanistan,Middle East & North Africa,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
AGO,Angola,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
ALB,Albania,Europe & Central Asia,Upper middle income,
AND,Andorra,Europe & Central Asia,High income,
ARE,United Arab Emirates,Middle East & North Africa,High income,
ARG,Argentina,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
ARM,Armenia,Europe & Central Asia,Upper middle income,
ASM,American Samoa,East Asia & Pacific,High income,
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,
AUS,Australia,East Asia & Pacific,High income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
AUT,Austria,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,
BDI,Burundi,Sub-Saharan Africa,Low income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2024. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
BEL,Belgium,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
BEN,Benin,Sub-Saharan Africa,Lower middle income,
BFA,Burkina Faso,Sub-Saharan Africa,Low income,
BGD,Bangladesh,South Asia,Lower middle income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
BGR,Bulgaria,Europe & Central Asia,High income,
BHR,Bahrain,Middle East & North Africa,High income,
BHS,"Bahamas, The",Latin America & Caribbean,High income,
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,
BLR,Belarus,Europe & Central Asia,Upper middle income,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)"
BLZ,Belize,Latin America & Caribbean,Upper middle income,
BMU,Bermuda,North America,High income,
BOL,Bolivia,Latin America & Caribbean,Lower middle income,
BRA,Brazil,Latin America & Caribbean,Upper middle income,
BRB,Barbados,Latin America & Caribbean,High income,
BRN,Brunei Darussalam,East Asia & Pacific,High income,
BTN,Bhutan,South Asia,Lower middle income,
BWA,Botswana,Sub-Saharan Africa,Upper middle income,
CAF,Central African Republic,Sub-Saharan Africa,Low income,
CAN,Canada,North America,High income,Fiscal year end: March 31; reporting period for national accounts data: CY.
CHE,Switzerland,Europe & Central Asia,High income,
CHI,Channel Islands,Europe & Central Asia,High income,
CHL,Chile,Latin America & Caribbean,High income,
CHN,China,East Asia & Pacific,Upper middle income,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,
