country_name,country_code,year,exports_usd
Afghanistan,AFG,2016,596000000.0
Albania,ALB,2016,1959000000.0
Algeria,DZA,2016,30026000000.0
American Samoa,ASM,2016,388000000.0
Andorra,AND,2016,97000000.0
Angola,AGO,2016,27589000000.0
Antigua and Barbuda,ATG,2016,61000000.0
Argentina,ARG,2016,57910000000.0
Armenia,ARM,2016,1792000000.0
Aruba,ABW,2016,284000000.0
Australia,AUS,2016,192505000000.0
Austria,AUT,2016,152090000000.0
Azerbaijan,AZE,2016,13108000000.0
"Bahamas, The",BHS,2016,403000000.0
Bahrain,BHR,2016,12785000000.0
Bangladesh,BGD,2016,34894000000.0
Barbados,BRB,2016,517000000.0
Belarus,BLR,2016,23414000000.0
Belgium,BEL,2016,398134000000.0
Belize,BLZ,2016,443000000.0
Benin,BEN,2016,1774000000.0
Bermuda,BMU,2016,19000000.0
Bhutan,BTN,2016,525000000.0
Bolivia,BOL,2016,7082000000.0
Bosnia and Herzegovina,BIH,2016,5328000000.0
Botswana,BWA,2016,7366000000.0
Brazil,BRA,2016,179526000000.0
British Virgin Islands,VGB,2016,
Brunei Darussalam,BRN,2016,4875000000.0
Bulgaria,BGR,2016,26572000000.0
Burkina Faso,BFA,2016,2509000000.0
Burundi,BDI,2016,125000000.0
Cabo Verde,CPV,2016,55000000.0
Cambodia,KHM,2016,10069000000.0
Cameroon,CMR,2016,3305000000.0
Canada,CAN,2016,389991000000.0
Cayman Islands,CYM,2016,58000000.0
Central African Republic,CAF,2016,115000000.0
Chad,TCD,2016,2090000000.0
Channel Islands,CHI,2016,
Chile,CHL,2016,60718000000.0
China,CHN,2016,2097632000000.0
Colombia,COL,2016,31757000000.0
Comoros,COM,2016,31000000.0
"Congo, Dem. Rep.",COD,2016,7193000000.0
"Congo, Rep.",COG,2016,7901000000.0
Costa Rica,CRI,2016,10361000000.0
Cote d'Ivoire,CIV,2016,10876000000.0
Croatia,HRV,2016,13813000000.0
Cuba,CUB,2016,2317000000.0
Curacao,CUW,2016,419000000.0
Cyprus,CYP,2016,2965000000.0
Czechia,CZE,2016,162692000000.0
Denmark,DNK,2016,95326000000.0
Djibouti,DJI,2016,1732000000.0
Dominica,DMA,2016,18000000.0
Dominican Republic,DOM,2016,9840000000.0
Ecuador,ECU,2016,16798000000.0
