country_name,country_code,year,exports_usd,port_teu,lsc_index,has_exports,has_port_traffic,has_lsc
Afghanistan,AFG,2016,596000000.0,,,True,False,False
Albania,ALB,2016,1959000000.0,118829.0,16.515,True,True,True
Algeria,DZA,2016,30026000000.0,1831056.0,76.945,True,True,True
American Samoa,ASM,2016,388000000.0,65970.0,24.73,True,True,True
Andorra,AND,2016,97000000.0,,,True,False,False
Angola,AGO,2016,27589000000.0,541346.0,78.8125,True,True,True
Antigua and Barbuda,ATG,2016,61000000.0,16193.0,15.9325,True,True,True
Argentina,ARG,2016,57910000000.0,1713267.0,104.8425,True,True,True
Armenia,ARM,2016,1792000000.0,,,True,False,False
Aruba,ABW,2016,284000000.0,31323.0,29.66,True,True,True
Australia,AUS,2016,192505000000.0,7830344.0,156.5775,True,True,True
Austria,AUT,2016,152090000000.0,285900.0,,True,True,False
Azerbaijan,AZE,2016,13108000000.0,,,True,False,False
"Bahamas, The",BHS,2016,403000000.0,1261778.0,77.5625,True,True,True
Bahrain,BHR,2016,12785000000.0,424602.0,44.225,True,True,True
Bangladesh,BGD,2016,34894000000.0,2387953.0,58.095,True,True,True
Barbados,BRB,2016,517000000.0,105321.0,38.675,True,True,True
Belarus,BLR,2016,23414000000.0,,,True,False,False
Belgium,BEL,2016,398134000000.0,10321506.0,388.56,True,True,True
Belize,BLZ,2016,443000000.0,46040.0,28.880000000000003,True,True,True
Benin,BEN,2016,1774000000.0,310500.0,57.8575,True,True,True
Bermuda,BMU,2016,19000000.0,4437.324,7.77,True,True,True
Bhutan,BTN,2016,525000000.0,,,True,False,False
Bolivia,BOL,2016,7082000000.0,,,True,False,False
Bosnia and Herzegovina,BIH,2016,5328000000.0,,,True,False,False
Botswana,BWA,2016,7366000000.0,,,True,False,False
Brazil,BRA,2016,179526000000.0,8804079.0,126.495,True,True,True
British Virgin Islands,VGB,2016,,52542.78,17.985,False,True,True
Brunei Darussalam,BRN,2016,4875000000.0,98606.0,25.9675,True,True,True
Bulgaria,BGR,2016,26572000000.0,206111.0,25.27,True,True,True
Burkina Faso,BFA,2016,2509000000.0,,,True,False,False
Burundi,BDI,2016,125000000.0,,,True,False,False
Cabo Verde,CPV,2016,55000000.0,62112.0,13.915,True,True,True
Cambodia,KHM,2016,10069000000.0,400187.0,36.9,True,True,True
Cameroon,CMR,2016,3305000000.0,370000.0,58.8625,True,True,True
Canada,CAN,2016,389991000000.0,5727822.0,154.84,True,True,True
Cayman Islands,CYM,2016,58000000.0,60718.0,6.67,True,True,True
Central African Republic,CAF,2016,115000000.0,,,True,False,False
Chad,TCD,2016,2090000000.0,,,True,False,False
Channel Islands,CHI,2016,,,,False,False,False
Chile,CHL,2016,60718000000.0,4170283.0,93.2575,True,True,True
China,CHN,2016,2097632000000.0,202830580.0,914.01,True,True,True
