country_name,country_code,year,exports_usd,port_teu,lsc_index,has_exports,has_port_traffic,has_lsc,complete_case,exports_log,port_teu_log,exports_tier,port_tier,lsc_tier
Afghanistan,AFG,2016,596000000.0,,,True,False,False,False,8.775246259740236,,Low,,
Albania,ALB,2016,1959000000.0,118829.0,16.515,True,True,True,True,9.292034435994736,5.074922442354038,Medium,Low,Low
Algeria,DZA,2016,30026000000.0,1831056.0,76.945,True,True,True,True,10.477497480263116,6.262701626726098,High,High,Medium
American Samoa,ASM,2016,388000000.0,65970.0,24.73,True,True,True,True,8.588831725594208,4.8193464840804525,Low,Low,Low
Andorra,AND,2016,97000000.0,,,True,False,False,False,7.986771734266245,,Low,,
Angola,AGO,2016,27589000000.0,541346.0,78.8125,True,True,True,True,10.440735959183332,5.733474932129605,High,Medium,Medium
Antigua and Barbuda,ATG,2016,61000000.0,16193.0,15.9325,True,True,True,True,7.785329835010767,4.209327315878065,Low,Low,Low
Argentina,ARG,2016,57910000000.0,1713267.0,104.8425,True,True,True,True,10.762753564933375,6.233825049825234,High,High,High
Armenia,ARM,2016,1792000000.0,,,True,False,False,False,9.253338005326107,,Low,,
Aruba,ABW,2016,284000000.0,31323.0,29.66,True,True,True,True,8.453318340047037,4.495863350482044,Low,Low,Low
Australia,AUS,2016,192505000000.0,7830344.0,156.5775,True,True,True,True,11.284442014074177,6.893780841753996,High,High,High
Austria,AUT,2016,152090000000.0,285900.0,,True,True,False,False,11.18210065989395,5.456214155357989,High,Medium,
Azerbaijan,AZE,2016,13108000000.0,,,True,False,False,False,10.117536432710338,,Medium,,
"Bahamas, The",BHS,2016,403000000.0,1261778.0,77.5625,True,True,True,True,8.60530504614111,6.100982950901717,Low,Medium,Medium
Bahrain,BHR,2016,12785000000.0,424602.0,44.225,True,True,True,True,10.106700732362354,5.627982035489231,Medium,Medium,Medium
Bangladesh,BGD,2016,34894000000.0,2387953.0,58.095,True,True,True,True,10.542750756732575,6.37802577470125,High,High,Medium
Barbados,BRB,2016,517000000.0,105321.0,38.675,True,True,True,True,8.713490543093943,5.022514973985304,Low,Low,Medium
Belarus,BLR,2016,23414000000.0,,,True,False,False,False,10.369475614018333,,High,,
Belgium,BEL,2016,398134000000.0,10321506.0,388.56,True,True,True,True,11.600029267214518,7.013743069362097,High,High,High
Belize,BLZ,2016,443000000.0,46040.0,28.880000000000003,True,True,True,True,8.64640372622307,4.663135314957755,Low,Low,Low
Benin,BEN,2016,1774000000.0,310500.0,57.8575,True,True,True,True,9.248953615495708,5.492061604512599,Low,Medium,Medium
Bermuda,BMU,2016,19000000.0,4437.324,7.77,True,True,True,True,7.278753600952829,3.6471211407460458,Low,Low,Low
Bhutan,BTN,2016,525000000.0,,,True,False,False,False,8.720159303405957,,Low,,
Bolivia,BOL,2016,7082000000.0,,,True,False,False,False,9.850155922422092,,Medium,,
Bosnia and Herzegovina,BIH,2016,5328000000.0,,,True,False,False,False,9.726564216162245,,Medium,,
Botswana,BWA,2016,7366000000.0,,,True,False,False,False,9.867231714518894,,Medium,,
Brazil,BRA,2016,179526000000.0,8804079.0,126.495,True,True,True,True,11.25412735452341,6.944683930872467,High,High,High
British Virgin Islands,VGB,2016,,52542.78,17.985,False,True,True,False,,4.720513047260852,,Low,Low
Brunei Darussalam,BRN,2016,4875000000.0,98606.0,25.9675,True,True,True,True,9.687974620034556,4.993903341793256,Medium,Low,Low
Bulgaria,BGR,2016,26572000000.0,206111.0,25.27,True,True,True,True,10.424424243769511,5.314101170390662,High,Medium,Low
Burkina Faso,BFA,2016,2509000000.0,,,True,False,False,False,9.39950066131461,,Medium,,
Burundi,BDI,2016,125000000.0,,,True,False,False,False,8.096910013008056,,Low,,
Cabo Verde,CPV,2016,55000000.0,62112.0,13.915,True,True,True,True,7.740362689494244,4.7931755137082686,Low,Low,Low
Cambodia,KHM,2016,10069000000.0,400187.0,36.9,True,True,True,True,10.002986340856785,5.602262976554152,Medium,Medium,Medium
Cameroon,CMR,2016,3305000000.0,370000.0,58.8625,True,True,True,True,9.519171463821658,5.568201724066995,Medium,Medium,Medium
Canada,CAN,2016,389991000000.0,5727822.0,154.84,True,True,True,True,11.591054584730506,6.757989513207107,High,High,High
Cayman Islands,CYM,2016,58000000.0,60718.0,6.67,True,True,True,True,7.763427993562937,4.783317457827,Low,Low,Low
Central African Republic,CAF,2016,115000000.0,,,True,False,False,False,8.060697840353612,,Low,,
Chad,TCD,2016,2090000000.0,,,True,False,False,False,9.320146286111054,,Medium,,
Channel Islands,CHI,2016,,,,False,False,False,False,,,,,
Chile,CHL,2016,60718000000.0,4170283.0,93.2575,True,True,True,True,10.783317457827,6.620165527675925,High,High,High
China,CHN,2016,2097632000000.0,202830580.0,914.01,True,True,True,True,12.321729299688027,8.30713343253538,High,High,High
Colombia,COL,2016,31757000000.0,3452348.0,194.12,True,True,True,True,10.501839469038945,6.53811456655134,High,High,High
Comoros,COM,2016,31000000.0,73309.69,19.7675,True,True,True,True,7.491361693834273,4.8651613830366545,Low,Low,Low
"Congo, Dem. Rep.",COD,2016,7193000000.0,59133.0,24.6725,True,True,True,True,9.856910060300786,4.771829912660453,Medium,Low,Low
"Congo, Rep.",COG,2016,7901000000.0,562889.0,72.4425,True,True,True,True,9.89768206179642,5.750422761742492,Medium,Medium,Medium
Costa Rica,CRI,2016,10361000000.0,1338979.0,90.405,True,True,True,True,10.015401673702948,6.126773765768067,Medium,Medium,High
Cote d'Ivoire,CIV,2016,10876000000.0,885750.0,81.4325,True,True,True,True,10.036469198915462,5.9473111610052145,Medium,Medium,Medium
Croatia,HRV,2016,13813000000.0,246596.0,60.595,True,True,True,True,10.140288011811867,5.3919860276854354,Medium,Medium,Medium
Cuba,CUB,2016,2317000000.0,325319.0,37.4175,True,True,True,True,9.364926033789976,5.512309428649783,Medium,Medium,Medium
Curacao,CUW,2016,419000000.0,98278.0,36.4175,True,True,True,True,8.622214022966295,4.992456309816571,Low,Low,Medium
Cyprus,CYP,2016,2965000000.0,360841.0,54.302499999999995,True,True,True,True,9.47202469770028,5.557315877711717,Medium,Medium,Medium
Czechia,CZE,2016,162692000000.0,,,True,False,False,False,11.211366198042725,,High,,
Denmark,DNK,2016,95326000000.0,715076.0,98.46,True,True,True,True,10.97921136985658,5.854352202117953,High,Medium,High
Djibouti,DJI,2016,1732000000.0,987400.0,86.08749999999999,True,True,True,True,9.238547887681328,5.9944931228835125,Low,Medium,Medium
Dominica,DMA,2016,18000000.0,7361.0,20.875,True,True,True,True,7.2552725051033065,3.866936817731639,Low,Low,Low
Dominican Republic,DOM,2016,9840000000.0,1486227.0,126.005,True,True,True,True,9.992995098431342,6.172085146785454,Medium,High,High
Ecuador,ECU,2016,16798000000.0,1907090.0,103.4125,True,True,True,True,10.225257576924099,6.280371188893445,Medium,High,High
"Egypt, Arab Rep.",EGY,2016,25468000000.0,5887541.0,242.0775,True,True,True,True,10.405994841191804,6.769933944512623,High,High,High
El Salvador,SLV,2016,5420000000.0,202165.0,28.4075,True,True,True,True,9.733999286538387,5.305705970134437,Medium,Medium,Low
Equatorial Guinea,GNQ,2016,4137000000.0,14281.0,27.0075,True,True,True,True,9.616685520895512,4.154758619154177,Medium,Low,Low
Eritrea,ERI,2016,436000000.0,12551.97,5.49,True,True,True,True,8.639486489268586,4.098711892588916,Low,Low,Low
Estonia,EST,2016,13171000000.0,204177.0,35.02,True,True,True,True,10.119618749752576,5.3100068183793585,Medium,Medium,Medium
Eswatini,SWZ,2016,1633000000.0,,,True,False,False,False,9.212986184736668,,Low,,
Faroe Islands,FRO,2016,1191679731.68217,33520.26,13.76,True,True,True,True,9.07615955284376,4.525307378577791,Low,Low,Low
Fiji,FJI,2016,926000000.0,244524.4,40.045,True,True,True,True,8.966610986681934,5.388322201932596,Low,Medium,Medium
Finland,FIN,2016,57908000000.0,1509479.0,93.485,True,True,True,True,10.762738565728347,6.178827075459441,High,High,High
France,FRA,2016,501179000000.0,5225656.0,288.19,True,True,True,True,11.699992865244717,6.718140817136617,High,High,High
French Polynesia,PYF,2016,173000000.0,69088.0,38.655,True,True,True,True,8.238046103128795,4.839402620654137,Low,Low,Medium
Gabon,GAB,2016,9503000000.0,146000.0,39.870000000000005,True,True,True,True,9.977860729264696,5.164352855784437,Medium,Low,Medium
"Gambia, The",GMB,2016,105000000.0,60000.0,25.3025,True,True,True,True,8.021189299069938,4.778151250383644,Low,Low,Low
Georgia,GEO,2016,2117000000.0,251011.0,17.6075,True,True,True,True,9.325720858019412,5.399692753889896,Medium,Medium,Low
Germany,DEU,2016,1334355000000.0,15126366.0,395.96,True,True,True,True,12.125271387324522,7.179734604446798,High,High,High
Ghana,GHA,2016,11138000000.0,942463.0,79.8375,True,True,True,True,10.04680721355374,5.9742643093168235,Medium,Medium,Medium
Gibraltar,GIB,2016,307000000.0,18621.03,9.795,True,True,True,True,8.487138375477187,4.2700036997895,Low,Low,Low
Greece,GRC,2016,28151000000.0,4088425.0,136.9625,True,True,True,True,10.44949382678126,6.611556035258015,High,High,High
Greenland,GRL,2016,575000000.0,8631.709,5.574999999999999,True,True,True,True,8.75966784468963,3.93609679059231,Low,Low,Low
Grenada,GRD,2016,30000000.0,19634.0,26.5075,True,True,True,True,7.477121254719663,4.2930087866585644,Low,Low,Low
Guam,GUM,2016,33000000.0,198209.0,28.15,True,True,True,True,7.518513939877887,5.297123370439854,Low,Medium,Low
Guatemala,GTM,2016,10447000000.0,1470101.0,96.6775,True,True,True,True,10.01899159470561,6.167347173003861,Medium,Medium,High
Guinea,GIN,2016,2414000000.0,176167.0,38.665,True,True,True,True,9.38273726576133,5.245924558672262,Medium,Medium,Medium
Guinea-Bissau,GNB,2016,277000000.0,26382.34,11.595,True,True,True,True,8.442479769064448,4.421313312969932,Low,Low,Low
Guyana,GUY,2016,1441000000.0,55168.0,42.8775,True,True,True,True,9.158663980813989,4.7416872398086,Low,Low,Medium
Haiti,HTI,2016,986000000.0,176879.0,45.61,True,True,True,True,8.993876914941211,5.247676274257962,Low,Medium,Medium
Honduras,HND,2016,7960000000.0,756641.0,68.97749999999999,True,True,True,True,9.900913067737669,5.878889870648665,Medium,Medium,Medium
"Hong Kong SAR, China",HKG,2016,516635000000.0,19580000.0,473.0,True,True,True,True,11.71318382458599,7.291812687467119,High,High,High
Hungary,HUN,2016,101919000000.0,,,True,False,False,False,11.008255153839269,,High,,
Iceland,ISL,2016,4436000000.0,308660.0,18.54,True,True,True,True,9.646991537477122,5.489480351850566,Medium,Medium,Low
India,IND,2016,264542000000.0,13724110.0,262.72,True,True,True,True,11.422494632591233,7.137484190308178,High,High,High
