country_code,country_name,year,lsc_index
ABW,Aruba,2016,29.66
ABW,Aruba,2017,25.555
ABW,Aruba,2018,32.2825
ABW,Aruba,2019,29.9725
AGO,Angola,2016,78.8125
AGO,Angola,2017,71.3725
AGO,Angola,2018,67.3675
AGO,Angola,2019,68.66499999999999
ALB,Albania,2016,16.515
ALB,Albania,2017,16.1575
ALB,Albania,2018,13.0775
ALB,Albania,2019,17.155
ARE,United Arab Emirates,2016,302.525
ARE,United Arab Emirates,2017,287.84499999999997
ARE,United Arab Emirates,2018,289.2825
ARE,United Arab Emirates,2019,278.5075
ARG,Argentina,2016,104.8425
ARG,Argentina,2017,104.2275
ARG,Argentina,2018,105.9025
ARG,Argentina,2019,101.47
ASM,American Samoa,2016,24.73
ASM,American Samoa,2017,25.5
ASM,American Samoa,2018,25.81
ASM,American Samoa,2019,26.075
ATG,Antigua and Barbuda,2016,15.9325
ATG,Antigua and Barbuda,2017,17.28
ATG,Antigua and Barbuda,2018,16.405
ATG,Antigua and Barbuda,2019,17.855
AUS,Australia,2016,156.5775
AUS,Australia,2017,145.995
AUS,Australia,2018,144.95
AUS,Australia,2019,145.615
BEL,Belgium,2016,388.56
BEL,Belgium,2017,396.1625
BEL,Belgium,2018,376.19
BEL,Belgium,2019,371.4425
BEN,Benin,2016,57.8575
BEN,Benin,2017,57.879999999999995
BEN,Benin,2018,62.957499999999996
BEN,Benin,2019,58.515
BGD,Bangladesh,2016,58.095
BGD,Bangladesh,2017,57.51
BGD,Bangladesh,2018,64.96000000000001
BGD,Bangladesh,2019,63.125
BGR,Bulgaria,2016,25.27
BGR,Bulgaria,2017,25.465
BGR,Bulgaria,2018,24.7025
BGR,Bulgaria,2019,24.2275
BHR,Bahrain,2016,44.225
BHR,Bahrain,2017,47.7125
BHR,Bahrain,2018,50.4225
BHR,Bahrain,2019,34.155
BHS,"Bahamas, The",2016,77.5625
BHS,"Bahamas, The",2017,76.5075
BHS,"Bahamas, The",2018,71.515
BHS,"Bahamas, The",2019,79.865
BLZ,Belize,2016,28.880000000000003
BLZ,Belize,2017,28.975
BLZ,Belize,2018,28.3825
BLZ,Belize,2019,29.655
BMU,Bermuda,2016,7.77
BMU,Bermuda,2017,7.77
BMU,Bermuda,2018,7.77
BMU,Bermuda,2019,7.875
BRA,Brazil,2016,126.495
BRA,Brazil,2017,118.56
BRA,Brazil,2018,121.5525
BRA,Brazil,2019,117.3
BRB,Barbados,2016,38.675
BRB,Barbados,2017,38.1575
BRB,Barbados,2018,35.59
BRB,Barbados,2019,33.3275
BRN,Brunei Darussalam,2016,25.9675
BRN,Brunei Darussalam,2017,23.247500000000002
BRN,Brunei Darussalam,2018,18.7875
BRN,Brunei Darussalam,2019,22.4275
CAN,Canada,2016,154.84
CAN,Canada,2017,160.405
CAN,Canada,2018,159.91
CAN,Canada,2019,159.64249999999998
CHL,Chile,2016,93.2575
CHL,Chile,2017,99.11
CHL,Chile,2018,102.57000000000001
CHL,Chile,2019,97.7425
CHN,China,2016,914.01
CHN,China,2017,929.1375
CHN,China,2018,985.7325
CHN,China,2019,999.7225
CIV,Cote d'Ivoire,2016,81.4325
CIV,Cote d'Ivoire,2017,71.07249999999999
