country_name,country_code,year,port_teu
Aruba,ABW,2016,31323.0
Africa Eastern and Southern,AFE,2016,
Afghanistan,AFG,2016,
Africa Western and Central,AFW,2016,6464269.34
Angola,AGO,2016,541346.0
Albania,ALB,2016,118829.0
Andorra,AND,2016,
Arab World,ARB,2016,51028666.29
United Arab Emirates,ARE,2016,20652200.0
Argentina,ARG,2016,1713267.0
Armenia,ARM,2016,
American Samoa,ASM,2016,65970.0
Antigua and Barbuda,ATG,2016,16193.0
Australia,AUS,2016,7830344.0
Austria,AUT,2016,285900.0
Azerbaijan,AZE,2016,
Burundi,BDI,2016,
Belgium,BEL,2016,10321506.0
Benin,BEN,2016,310500.0
Burkina Faso,BFA,2016,
Bangladesh,BGD,2016,2387953.0
Bulgaria,BGR,2016,206111.0
Bahrain,BHR,2016,424602.0
"Bahamas, The",BHS,2016,1261778.0
Bosnia and Herzegovina,BIH,2016,
Belarus,BLR,2016,
Belize,BLZ,2016,46040.0
Bermuda,BMU,2016,4437.324
Bolivia,BOL,2016,
Brazil,BRA,2016,8804079.0
Barbados,BRB,2016,105321.0
Brunei Darussalam,BRN,2016,98606.0
Bhutan,BTN,2016,
Botswana,BWA,2016,
Central African Republic,CAF,2016,
Canada,CAN,2016,5727822.0
Central Europe and the Baltics,CEB,2016,5076244.0
Switzerland,CHE,2016,114498.0
Channel Islands,CHI,2016,
Chile,CHL,2016,4170283.0
China,CHN,2016,202830580.0
Cote d'Ivoire,CIV,2016,885750.0
Cameroon,CMR,2016,370000.0
"Congo, Dem. Rep.",COD,2016,59133.0
"Congo, Rep.",COG,2016,562889.0
Colombia,COL,2016,3452348.0
Comoros,COM,2016,73309.69
Cabo Verde,CPV,2016,62112.0
Costa Rica,CRI,2016,1338979.0
Caribbean small states,CSS,2016,2107409.0
Cuba,CUB,2016,325319.0
Curacao,CUW,2016,98278.0
Cayman Islands,CYM,2016,60718.0
Cyprus,CYP,2016,360841.0
Czechia,CZE,2016,
Germany,DEU,2016,15126366.0
Djibouti,DJI,2016,987400.0
Dominica,DMA,2016,7361.0
Denmark,DNK,2016,715076.0
Dominican Republic,DOM,2016,1486227.0
Algeria,DZA,2016,1831056.0
East Asia & Pacific (excluding high income),EAP,2016,268382315.763
Early-demographic dividend,EAR,2016,99932653.203
East Asia & Pacific,EAS,2016,392800641.259
Europe & Central Asia (excluding high income),ECA,2016,
Europe & Central Asia,ECS,2016,111039447.0132
Ecuador,ECU,2016,1907090.0
"Egypt, Arab Rep.",EGY,2016,5887541.0
Euro area,EMU,2016,84300577.0
Eritrea,ERI,2016,12551.97
Spain,ESP,2016,15073218.0
Estonia,EST,2016,204177.0
Ethiopia,ETH,2016,
European Union,EUU,2016,89475750.0
Fragile and conflict affected situations,FCS,2016,7696968.923
Finland,FIN,2016,1509479.0
Fiji,FJI,2016,244524.4
France,FRA,2016,5225656.0
Faroe Islands,FRO,2016,33520.26
"Micronesia, Fed. Sts.",FSM,2016,9814.813
Gabon,GAB,2016,146000.0
United Kingdom,GBR,2016,10200229.0
Georgia,GEO,2016,251011.0
Ghana,GHA,2016,942463.0
Gibraltar,GIB,2016,18621.03
Guinea,GIN,2016,176167.0
"Gambia, The",GMB,2016,60000.0
Guinea-Bissau,GNB,2016,26382.34
Equatorial Guinea,GNQ,2016,14281.0
Greece,GRC,2016,4088425.0
Grenada,GRD,2016,19634.0
Greenland,GRL,2016,8631.709
Guatemala,GTM,2016,1470101.0
Guam,GUM,2016,198209.0
Guyana,GUY,2016,55168.0
High income,HIC,2016,335767762.199
"Hong Kong SAR, China",HKG,2016,19580000.0
Honduras,HND,2016,756641.0
Heavily indebted poor countries (HIPC),HPC,2016,
Croatia,HRV,2016,246596.0
Haiti,HTI,2016,176879.0
Hungary,HUN,2016,
IBRD only,IBD,2016,361526908.8002
IDA & IBRD total,IBT,2016,386897520.2532
IDA total,IDA,2016,25370611.453
IDA blend,IDB,2016,7839758.4
Indonesia,IDN,2016,10535691.0
IDA only,IDX,2016,
Isle of Man,IMN,2016,
India,IND,2016,13724110.0
Not classified,INX,2016,
Ireland,IRL,2016,916833.0
"Iran, Islamic Rep.",IRN,2016,2462028.0
Iraq,IRQ,2016,220859.7
Iceland,ISL,2016,308660.0
Israel,ISR,2016,2711000.0
Italy,ITA,2016,10589293.0
Jamaica,JAM,2016,1567442.0
Jordan,JOR,2016,792841.0
Japan,JPN,2016,21678076.0
Kazakhstan,KAZ,2016,
Kenya,KEN,2016,1091000.0
Kyrgyz Republic,KGZ,2016,
Cambodia,KHM,2016,400187.0
Kiribati,KIR,2016,49005.46
St. Kitts and Nevis,KNA,2016,13216.0
"Korea, Rep.",KOR,2016,25945418.0
Kuwait,KWT,2016,944432.0
Latin America & Caribbean (excluding high income),LAC,2016,30285110.0
Lao PDR,LAO,2016,
Lebanon,LBN,2016,1147219.0
Liberia,LBR,2016,112500.0
Libya,LBY,2016,151551.5
St. Lucia,LCA,2016,38383.0
Latin America & Caribbean,LCN,2016,46785590.78
Least developed countries: UN classification,LDC,2016,
Low income,LIC,2016,
Liechtenstein,LIE,2016,
Sri Lanka,LKA,2016,5734000.0
Lower middle income,LMC,2016,67835429.253
Low & middle income,LMY,2016,366704562.6672
Lesotho,LSO,2016,
Late-demographic dividend,LTE,2016,318868584.0142
Lithuania,LTU,2016,443000.0
Luxembourg,LUX,2016,
Latvia,LVA,2016,388260.0
"Macao SAR, China",MAC,2016,
St. Martin (French part),MAF,2016,
Morocco,MAR,2016,4106683.0
Monaco,MCO,2016,
Moldova,MDA,2016,735.0142
Madagascar,MDG,2016,138850.0
Maldives,MDV,2016,81744.0
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2016,61711645.2
Mexico,MEX,2016,5678854.0
Marshall Islands,MHL,2016,51613.32
Middle income,MIC,2016,364292664.9572
North Macedonia,MKD,2016,
Mali,MLI,2016,
Malta,MLT,2016,3151939.0
Myanmar,MMR,2016,1026216.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2016,21672472.2
Montenegro,MNE,2016,30211.0
Mongolia,MNG,2016,
Northern Mariana Islands,MNP,2016,44989.51
Mozambique,MOZ,2016,
Mauritania,MRT,2016,72523.0
Mauritius,MUS,2016,388514.0
Malawi,MWI,2016,
Malaysia,MYS,2016,24569452.0
North America,NAC,2016,53881261.324
Namibia,NAM,2016,203071.0
New Caledonia,NCL,2016,108500.0
Niger,NER,2016,
Nigeria,NGA,2016,1272000.0
Nicaragua,NIC,2016,156900.0
Netherlands,NLD,2016,12612142.0
Norway,NOR,2016,716916.0
Nepal,NPL,2016,
Nauru,NRU,2016,7032.956
New Zealand,NZL,2016,3000696.0
OECD members,OED,2016,234582818.0
Oman,OMN,2016,3943846.0
Other small states,OSS,2016,5996428.58
Pakistan,PAK,2016,3074000.0
Panama,PAN,2016,6271682.0
Peru,PER,2016,2321062.0
Philippines,PHL,2016,7560607.0
Palau,PLW,2016,22490.03
Papua New Guinea,PNG,2016,
Poland,POL,2016,2032761.0
Pre-demographic dividend,PRE,2016,8700367.1
Puerto Rico (US),PRI,2016,1210500.0
"Korea, Dem. People's Rep.",PRK,2016,
Portugal,PRT,2016,2912946.0
Paraguay,PRY,2016,38430.0
West Bank and Gaza,PSE,2016,
Pacific island small states,PSS,2016,817138.749
Post-demographic dividend,PST,2016,259835596.0
French Polynesia,PYF,2016,69088.0
Qatar,QAT,2016,527952.0
Romania,ROU,2016,711339.0
Russian Federation,RUS,2016,3472382.0
Rwanda,RWA,2016,
South Asia,SAS,2016,21927807.0
Saudi Arabia,SAU,2016,7683202.0
Sudan,SDN,2016,465355.0
Senegal,SEN,2016,540000.0
Singapore,SGP,2016,30903600.0
Solomon Islands,SLB,2016,181636.1
Sierra Leone,SLE,2016,89063.0
El Salvador,SLV,2016,202165.0
San Marino,SMR,2016,
"Somalia, Fed. Rep.",SOM,2016,104800.4
Serbia,SRB,2016,
Sub-Saharan Africa (excluding high income),SSA,2016,14594679.69
South Sudan,SSD,2016,
Sub-Saharan Africa,SSF,2016,14726894.29
Small states,SST,2016,8920976.329
Sao Tome and Principe,STP,2016,67523.29
Suriname,SUR,2016,98652.0
Slovak Republic,SVK,2016,
Slovenia,SVN,2016,844000.0
Sweden,SWE,2016,1509886.0
Eswatini,SWZ,2016,
Sint Maarten (Dutch part),SXM,2016,97991.0
Seychelles,SYC,2016,132214.6
Syrian Arab Republic,SYR,2016,253415.0
Turks and Caicos Islands,TCA,2016,
Chad,TCD,2016,
East Asia & Pacific (IDA & IBRD countries),TEA,2016,268411838.749
Europe & Central Asia (IDA & IBRD countries),TEC,2016,16511367.0142
Togo,TGO,2016,821639.0
Thailand,THA,2016,9340560.0
Tajikistan,TJK,2016,
Turkmenistan,TKM,2016,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2016,43647141.0
Timor-Leste,TLS,2016,49177.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2016,21672472.2
Tonga,TON,2016,84702.43
South Asia (IDA & IBRD),TSA,2016,21927807.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,2016,14726894.29
Trinidad and Tobago,TTO,2016,427427.0
Tunisia,TUN,2016,489670.0
Turkiye,TUR,2016,8760769.0
Tuvalu,TUV,2016,15844.34
Tanzania,TZA,2016,630290.0
Uganda,UGA,2016,
Ukraine,UKR,2016,680623.0
Upper middle income,UMC,2016,296457235.7042
Uruguay,URY,2016,888119.0
United States,USA,2016,48149002.0
Uzbekistan,UZB,2016,
St. Vincent and the Grenadines,VCT,2016,18236.0
"Venezuela, RB",VEN,2016,400962.0
British Virgin Islands,VGB,2016,52542.78
Virgin Islands (U.S.),VIR,2016,
Viet Nam,VNM,2016,11282230.0
Vanuatu,VUT,2016,115886.9
World,WLD,2016,702873286.8662
Samoa,WSM,2016,34588.0
Kosovo,XKX,2016,
"Yemen, Rep.",YEM,2016,268208.0
South Africa,ZAF,2016,4354666.0
Zambia,ZMB,2016,
Zimbabwe,ZWE,2016,
Aruba,ABW,2017,31689.0
Africa Eastern and Southern,AFE,2017,
Afghanistan,AFG,2017,
Africa Western and Central,AFW,2017,7328156.16
Angola,AGO,2017,683548.0
Albania,ALB,2017,118270.0
Andorra,AND,2017,
Arab World,ARB,2017,52594194.8
United Arab Emirates,ARE,2017,19089706.0
Argentina,ARG,2017,1809153.0
Armenia,ARM,2017,
American Samoa,ASM,2017,92270.0
Antigua and Barbuda,ATG,2017,17311.0
Australia,AUS,2017,7991508.0
Austria,AUT,2017,285900.0
Azerbaijan,AZE,2017,
Burundi,BDI,2017,
Belgium,BEL,2017,10783850.0
Benin,BEN,2017,333000.0
Burkina Faso,BFA,2017,
Bangladesh,BGD,2017,2583549.0
Bulgaria,BGR,2017,228545.0
Bahrain,BHR,2017,400307.0
"Bahamas, The",BHS,2017,920652.0
Bosnia and Herzegovina,BIH,2017,
Belarus,BLR,2017,
Belize,BLZ,2017,44381.0
Bermuda,BMU,2017,4437.324
Bolivia,BOL,2017,
Brazil,BRA,2017,9380502.0
Barbados,BRB,2017,107098.0
Brunei Darussalam,BRN,2017,104747.0
Bhutan,BTN,2017,
Botswana,BWA,2017,
Central African Republic,CAF,2017,
Canada,CAN,2017,6377236.0
Central Europe and the Baltics,CEB,2017,5661145.0
Switzerland,CHE,2017,119231.0
Channel Islands,CHI,2017,
Chile,CHL,2017,4407502.0
China,CHN,2017,218712874.0
Cote d'Ivoire,CIV,2017,907646.0
Cameroon,CMR,2017,386367.0
"Congo, Dem. Rep.",COD,2017,52066.0
"Congo, Rep.",COG,2017,650000.0
Colombia,COL,2017,3877937.0
Comoros,COM,2017,52673.2
Cabo Verde,CPV,2017,74554.0
Costa Rica,CRI,2017,1489326.0
Caribbean small states,CSS,2017,1764394.0
Cuba,CUB,2017,332240.0
Curacao,CUW,2017,93921.0
Cayman Islands,CYM,2017,61940.0
Cyprus,CYP,2017,345016.0
Czechia,CZE,2017,
Germany,DEU,2017,15163474.0
Djibouti,DJI,2017,928000.0
Dominica,DMA,2017,7425.0
Denmark,DNK,2017,820139.0
Dominican Republic,DOM,2017,1770295.0
Algeria,DZA,2017,1725198.0
East Asia & Pacific (excluding high income),EAP,2017,287679915.91
Early-demographic dividend,EAR,2017,109678412.13
East Asia & Pacific,EAS,2017,419122781.142
Europe & Central Asia (excluding high income),ECA,2017,
Europe & Central Asia,ECS,2017,117971615.5142
Ecuador,ECU,2017,1990210.0
"Egypt, Arab Rep.",EGY,2017,6337413.0
Euro area,EMU,2017,88818720.0
Eritrea,ERI,2017,12551.97
Spain,ESP,2017,15929902.0
Estonia,EST,2017,229905.0
