Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Afghanistan,AFG,235000000,137000000,596000000,723000000,875000000,864000000,777000000,751000000,421000000,441000000,536000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Albania,ALB,230000000,261000000,1959000000,2292000000,2870000000,2716000000,2506000000,3559000000,4309000000,4374000000,4000000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Algeria,DZA,12880000000,22031000000,30026000000,35191000000,41797000000,35312000000,21932000000,38637000000,65718000000,55555000000,49180000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,American Samoa,ASM,311000000,346000000,388000000,397000000,377000000,353000000,409000000,314000000,383000000,395000000,382000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Andorra,AND,..,..,97000000,118000000,129000000,..,167000000,164000000,386000000,252000000,258000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Angola,AGO,3910000000,7921000000,27589000000,34613000000,40758000000,35432000000,22135000000,34472000000,51275000000,39506000000,39410000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Antigua and Barbuda,ATG,21000000,52000000,61000000,21000000,26000000,38000000,22000000,19000000,22000000,31000000,33000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Argentina,ARG,12353000000,26341000000,57910000000,58644000000,61781000000,65116000000,54884000000,77934000000,88703000000,66988000000,79703000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Armenia,ARM,..,294000000,1792000000,2245000000,2412000000,2640000000,2544000000,3023000000,5360000000,8552000000,13092000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Aruba,ABW,155000000,2524000000,284000000,135000000,194000000,131000000,87000000,123000000,208000000,166000000,162000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Australia,AUS,39752000000,63870000000,192505000000,231131000000,257098000000,271005000000,250823000000,344864000000,412683000000,371407000000,340829000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Austria,AUT,41265000000,67710000000,152090000000,168026000000,184815000000,178670000000,169418000000,202806000000,211929000000,224056000000,213927000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Azerbaijan,AZE,..,1745000000,13108000000,15481000000,20317000000,19635000000,13733000000,22208000000,38147000000,33899000000,26554000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,"Bahamas, The",BHS,238000000,555000000,403000000,473000000,513000000,537000000,335000000,543000000,610000000,736000000,670000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Bahrain,BHR,3761000000,6194000000,12785000000,15376000000,18044000000,18120000000,14066000000,22369000000,30194000000,24814000000,24278000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Bangladesh,BGD,1671000000,6389000000,34894000000,35851000000,39252000000,39337000000,33605000000,44223000000,51405000000,44237000000,47245000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Barbados,BRB,216000000,272000000,517000000,485000000,448000000,444000000,345000000,350000000,498000000,461000000,461000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Belarus,BLR,..,7326000000,23414000000,29267000000,33726000000,32955000000,29179000000,39762000000,38220000000,39840000000,40327000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Belgium,BEL,..,188371000000,398134000000,429645000000,468213000000,446910000000,422655000000,551478000000,626376000000,567845000000,535741000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Belize,BLZ,129000000,196000000,443000000,457000000,451000000,425000000,289000000,422000000,518000000,488000000,482000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Benin,BEN,288000000,392000000,1774000000,2216000000,3344000000,3052000000,2996000000,3642000000,3719000000,4050000000,3772000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Bermuda,BMU,60000000,51000000,19000000,18000000,18000000,27000000,19000000,29000000,34000000,22000000,68000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Bhutan,BTN,70000000,103000000,525000000,573000000,606000000,674000000,651000000,784000000,724000000,641000000,747000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Bolivia,BOL,926000000,1230000000,7082000000,7846000000,8965000000,8757000000,7015000000,11030000000,13924000000,10911000000,9059000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Bosnia and Herzegovina,BIH,..,1069000000,5328000000,6402000000,7182000000,6578000000,6155000000,8614000000,9674000000,9232000000,8890000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Botswana,BWA,1784000000,2675000000,7366000000,5870000000,6575000000,5237000000,4262000000,7420000000,8327000000,5763000000,4648000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Brazil,BRA,31414000000,55119000000,179526000000,214988000000,231890000000,221127000000,209180000000,280815000000,334136000000,339696000000,337046000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Brunei Darussalam,BRN,2213000000,3903000000,4875000000,5571000000,6574000000,7039000000,6608000000,11058000000,14230000000,11241000000,11244000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Bulgaria,BGR,5030000000,4852000000,26572000000,31438000000,33617000000,33340000000,31954000000,41157000000,49925000000,47980000000,46604000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Burkina Faso,BFA,152000000,209000000,2509000000,2875000000,3254000000,3239000000,4372000000,5043000000,4518000000,4467000000,5640000000,..
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,Burundi,BDI,75000000,50000000,125000000,172000000,180000000,180000000,162000000,163000000,207000000,210000000,174000000,..
